title,link,source_outlet,source_url,source_rating,original_source
"As G.O.P. Eyes Medicaid Cuts, States Could be Left With Vast Shortfalls",https://www.allsides.com/news/2025-02-25-1302/healthcare-gop-eyes-medicaid-cuts-states-could-be-left-vast-shortfalls,New York Times (News),https://www.allsides.com/news-source/new-york-times,Lean Left,https://www.nytimes.com/2025/02/25/us/politics/medicaid-cuts-republican-budget.html?smid=nytcore-ios-share&referringSource=articleShare
RFK Jr. Is Not Alone in Scrutinizing Seed Oils,https://www.allsides.com/news/2025-02-25-1254/healthcare-rfk-jr-not-alone-scrutinizing-seed-oils,National Review (Opinion),https://www.allsides.com/news-source/national-review-opinion-media-bias,Far Right,https://www.nationalreview.com/2025/02/rfk-jr-is-not-alone-in-scrutinizing-seed-oils/
These Media Companies Figured Out the Secret. Will Anyone Else?,https://www.allsides.com/news/2025-02-25-1251/media-industry-these-media-companies-figured-out-secret-will-anyone-else,Newsweek,https://www.allsides.com/news-source/newsweek,Center,https://www.newsweek.com/these-media-companies-figured-out-secret-will-anyone-else-opinion-2035941
Federal judge rules Trump administration has to pay millions in foreign aid to nonprofits,https://www.allsides.com/news/2025-02-25-1249/donald-trump-federal-judge-rules-trump-administration-has-pay-millions-foreign,ABC News (Online),https://www.allsides.com/news-source/abc-news-media-bias,Lean Left,https://abcnews.go.com/Politics/federal-judge-rules-trump-administration-pay-millions-foreign/story?id=119173659
Are Republican voters turning on DOGE?,https://www.allsides.com/news/2025-02-25-1224/politics-are-republican-voters-turning-doge,UnHerd,https://www.allsides.com/news-source/unherd-media-bias,Center,https://unherd.com/newsroom/are-republican-voters-turning-on-doge/
"Supreme Court overturns Richard Glossip conviction, orders new trial",https://www.allsides.com/news/2025-02-25-1154/criminal-justice-supreme-court-overturns-richard-glossip-conviction-orders-new,Washington Examiner,https://www.allsides.com/news-source/washington-examiner,Lean Right,https://www.washingtonexaminer.com/news/supreme-court/3329384/supreme-court-overturns-richard-glossip-conviction/#google_vignette
"Supreme Court turns back challenges to laws keeping abortion opponents away from clinics, patients",https://www.allsides.com/news/2025-02-25-0748/abortion-supreme-court-turns-back-challenges-laws-keeping-abortion-opponents,Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,Left,https://apnews.com/article/supreme-court-abortion-buffer-zones-7979c3d747d7eab88f7e8b723397e768
"New Jersey residents with autism can put diagnosis on license, ID",https://www.allsides.com/news/2025-02-25-0746/general-news-new-jersey-residents-autism-can-put-diagnosis-license-id,Straight Arrow News,https://www.allsides.com/news-source/straight-arrow-news-media-bias,Center,https://san.com/cc/new-jersey-residents-with-autism-can-put-diagnosis-on-license-id/
"Before it was shuttered, USAID routed funds to Soros-aligned causes, terrorists and drag queens",https://www.allsides.com/news/2025-02-25-0745/politics-it-was-shuttered-usaid-routed-funds-soros-aligned-causes-terrorists,Just The News,https://www.allsides.com/news-source/just-news-media-bias,Lean Right,https://justthenews.com/accountability/political-ethics/it-was-shuttered-usaid-routed-funds-soros-causes-terrorists-and
What RFK Jr. has said about the ongoing measles outbreak,https://www.allsides.com/news/2025-02-25-0540/healthcare-what-rfk-jr-has-said-about-ongoing-measles-outbreak,Vox,https://www.allsides.com/news-source/vox-news-media-bias,Left,https://www.vox.com/health/401130/texas-new-mexico-measles-rfk-hhs-response
Musk says failure to respond to achievements email will result in sacking – US politics live,https://www.allsides.com/news/2025-02-25-0547/politics-musk-says-failure-respond-achievements-email-will-result-sacking-us,The Guardian,https://www.allsides.com/news-source/guardian,Left,https://www.theguardian.com/us-news/live/2025/feb/25/donald-trump-elon-musk-email-latest-us-politics-news-live
"The $20 Billion Controversy Over E.P.A. Climate Funds, Explained",https://www.allsides.com/news/2025-02-25-0546/environment-20-billion-controversy-over-epa-climate-funds-explained,New York Times (News),https://www.allsides.com/news-source/new-york-times,Lean Left,https://www.nytimes.com/2025/02/20/climate/epa-climate-funds-green-banks-20-billion.html
U.S. judge allows Trump’s AP Oval Office ban to stand over use of Gulf of Mexico name,https://www.allsides.com/news/2025-02-25-0545/free-speech-us-judge-allows-trump-s-ap-oval-office-ban-stand-over-use-gulf,CNBC,https://www.allsides.com/news-source/cnbc,Center,https://www.cnbc.com/2025/02/24/us-judge-allows-trumps-ap-oval-office-ban-to-stand-over-use-of-gulf-of-mexico-name.html
Vivek Ramaswamy Announces Run for Ohio Governor: ‘I Will Lead Ohio to Be the State of Excellence’,https://www.allsides.com/news/2025-02-25-0543/politics-vivek-ramaswamy-announces-run-ohio-governor-i-will-lead-ohio-be-state,Breitbart News,https://www.allsides.com/news-source/breitbart,Far Right,https://www.breitbart.com/politics/2025/02/24/vivek-ramaswamy-announces-run-ohio-governor-lead-excellence/
