id,outlet,title,source_rating,ai_rating,text_length,include
64,National Review (News),Non-Sanctuary New York County Working with ICE to Deport Illegal Immigrants,Lean Right,No content,16,YES
65,Washington Examiner,Trump goes to war against ‘epidemic’ of nationwide injunctions,Lean Right,Lean Right,7713,YES
66,Washington Examiner,Republicans wage campaign against American Bar Association,Lean Right,Lean Right,6674,YES
67,Washington Examiner,Supreme Court hears reverse discrimination case with implications for DEI,Lean Right,Lean Right,5094,YES
68,Washington Examiner,Newsom and Walz have revealing conversation about Democrats’ future,Lean Right,Lean Right,3957,YES
69,Washington Examiner,Russian negotiator rejects US-Ukraine ceasefire agreement,Lean Right,Lean Right,3670,YES
70,Newsweek,Social Security to increase monthly payments for 3.2 million people,Center,Center,7450,YES
71,Newsweek,These Media Companies Figured Out the Secret. Will Anyone Else?,Center,Left,6829,YES
72,Newsweek,What Did Dan Crenshaw Say About Tucker Carlson? Relationship Explained,Center,Center,6351,YES
73,Newsweek,Women's-Only Gym Faces Backlash for Excluding Trans Women,Center,Center,5909,YES
74,Newsweek,Putin to Hold Private Talks with Trump's Envoy Witkoff on Ukraine Truce,Center,Center,4876,YES
75,Townhall,Victor Ponta: I Can Work With President Trump To Make Romania and Europe Great,Right,Right,15161,YES
76,Townhall,The Agony of John Roberts,Right,Right,10306,YES
77,Townhall,Trump Makes His Enemies Insane,Right,Right,7547,YES
78,Townhall,USAID Caught Red-Handed in Censorship Conspiracy,Right,Right,5822,YES
79,Townhall,"Immigration Is A Privilege, Not A Right",Right,Right,4118,YES
80,BBC News,From Mexico cartel safe house to US streets: BBC tracks deadly fentanyl targeted by Trump tariffs,Center,Center,11055,YES
81,BBC News,Seven moments from Trump's big speech,Center,Center,7541,YES
82,BBC News,Is the US really heading into a recession?,Center,Center,6492,YES
83,BBC News,'Discarded like a dirty rag': Chinese state media hails Trump's cuts to Voice of America,Center,Center,5821,YES
84,BBC News,Fact-checking Trump's address to Congress,Center,No content,5353,YES
85,CNN Digital,Trump’s assault on elites encompasses almost every aspect of American life,Lean Left,Left,10784,YES
86,CNN Digital,Johnson and Trump pull off surprising win to advance GOP agenda after vote whiplash in the House,Lean Left,Left,6374,YES
87,CNN Digital,Dow tumbles 650 points as Trump confirms tariffs on Mexico and Canada will start Tuesday,Lean Left,Left,5778,YES
88,CNN Digital,DOGE gains access to US Institute of Peace after Trump administration overhauls board,Lean Left,Left,5319,YES
89,CNN Digital,"In scathing ruling, judge halts part of Trump’s executive order against prominent Democratic-tied law firm Perkins Coie",Lean Left,Left,4507,YES
90,New York Times (Opinion),‘What Is Government For’? 14 Hard-Hit Voters Debate a Big Question in the Era of Trump and Musk,Left,Left,26524,YES
91,New York Times (Opinion),Trump Voters Love Him More Than Before. Four Conservative Columnists Pinpoint Why.,Left,Left,29386,YES
92,New York Times (Opinion),This Theory Is Behind Trump’s Power Grab,Left,Left,9409,YES
93,New York Times (Opinion),‘It Was 90-Plus Minutes of Bad Moments’: 9 Opinion Writers on Trump’s Address to Congress,Left,No content,7237,YES
94,New York Times (Opinion),There Is No Musk Exception in the Constitution,Left,Left,7129,YES
95,Washington Times,"Trump goes all-in on deportation fight, claims national security powers",Lean Right,Lean Right,7130,YES
96,Washington Times,Democratic AGs sue to stop Trump administration from dismantling Education Department,Lean Right,Lean Right,4318,YES
97,Washington Times,Trump announces $100 billion investment by Taiwan semiconductor manufacturer,Lean Right,Lean Right,4003,YES
98,Washington Times,Education Department cuts nearly 50% of workforce,Lean Right,Lean Right,3814,YES
99,Washington Times,FBI looking into Comey’s off-the-books ‘honeypot’ operation targeting 2016 Trump campaign,Lean Right,Lean Right,3650,YES
100,The Hill,Schumer in toughest fight of Senate leadership career,Center,Left,9133,YES
101,The Hill,GOP lawmakers sound alarm over Trump’s Ukraine strategy,Center,Center,7808,YES
102,The Hill,GOP senators warn Trump agenda will be slowed by internal divisions,Center,Center,7680,YES
103,The Hill,Democrats face frustrated voters at raucous town halls,Center,Center,7448,YES
104,The Hill,GOP lawmakers conflicted over Trump’s clash with judiciary,Center,Center,7050,YES
105,Wall Street Journal (News),Trump Proposes $5 Million ‘Gold Card’ That Would Grant U.S. Residency,Center,Center,2090,YES
106,Wall Street Journal (News),Lutnick Says U.S. Might ‘Work Something Out’ With Canada and Mexico,Center,No content,1586,YES
107,Wall Street Journal (News),BlackRock Strikes $23 Billion Deal for Ports on Both Sides of Panama Canal,Center,Center,1332,YES
108,Wall Street Journal (News),Columbia Is Nearing Agreement to Give Trump What He Wants,Center,Center,594,YES
109,Wall Street Journal (News),Ukraine Turns Tables With Cease-Fire Proposal but Putin Has Little Incentive to Sign,Center,Center,431,YES
110,ABC News (Online),Federal judge rules Trump administration has to pay millions in foreign aid to nonprofits,Lean Left,Center,6785,YES
111,ABC News (Online),Utah will be the first state to ban fluoride in drinking water,Lean Left,Center,5095,YES
112,ABC News (Online),"Activist Mahmoud Khalil asked Columbia University for legal support day before ICE arrest, his wife says",Lean Left,Left,4424,YES
113,ABC News (Online),Former US Attorney Jessica Aber found dead in Virginia at 43,Lean Left,Center,3027,YES
114,ABC News (Online),"Pope suffers 2 episodes of respiratory failure, Vatican says",Lean Left,No content,13,YES
115,Vox,The Democrats’ young man problem is real,Left,Left,18271,YES
116,Vox,Trump and Musk have huge conflicts of interest. Who’s policing them?,Left,Left,10803,YES
117,Vox,This is why Kamala Harris really lost,Left,Left,30539,YES
118,Vox,Is the US headed for a recession?,Left,Left,8378,YES
119,Vox,What RFK Jr. has said about the ongoing measles outbreak,Left,Left,5998,YES
120,New York Post (News),MTA announces that iconic MetroCards will be replaced by OMNY by end of ‘25: ‘You served us well’,Lean Right,Center,4787,YES
121,New York Post (News),"Trump fires both Democratic FTC commissioners, setting stage for legal brawl",Lean Right,Lean Right,4471,YES
122,New York Post (News),"George Foreman, American boxing legend and entrepreneur, dead at 76",Lean Right,Center,4441,YES
123,New York Post (News),Pro-Mahmoud Khalil demonstrators arrested after clash with NYPD as ‘pro-Hamas’ Columbia graduate faces deportation,Lean Right,Lean Right,4231,YES
124,New York Post (News),Stephen A. Smith spars with Whoopi Goldberg on the real cause of Democrats’ 2024 loss,Lean Right,Lean Right,3298,YES
125,FactCheck.org,The War of Words Over Medicaid Cuts,Lean Left,Center,15081,YES
126,FactCheck.org,FactChecking Trump’s Address to Congress,Lean Left,No content,25165,YES
127,FactCheck.org,Both Sides Spin Who Would Benefit from Extending Trump Tax Cuts,Lean Left,Center,10774,YES
128,FactCheck.org,Trump’s Flawed Claim that Tariffs Made the U.S. Its ‘Richest’,Lean Left,Center,11385,YES
129,FactCheck.org,Trump Misleads on Jobs,Lean Left,Center,11127,YES
